credit suisse,[u'https://www.credit-suisse.com/ch/en/investment-banking/about-investment-banking/management-team.html']
lockheed martin aeronautics,[]
chevron,"[u'http://www.chevron.com/about/leadership/corporateofficers/', u'http://subseaworldnews.com/2013/10/07/chevron-makes-changes-to-its-executive-team/']"
cbre,"[u'http://www.cbre.us/aboutus/Pages/Executive-Team.aspx', u'http://www.cbre.us/services/capitalmarkets/auction/Pages/leadership-team.aspx', u'http://www.cbre.ro/ro_en/about_cbre/executive_team']"
fiserv,[]
u.s. department of state,[]
boeing commercial airplanes,[]
law,"[u'http://bulldoglawgroup.com/executive-team/', u'http://www.bna.com/executive-team-a6892/', u'http://www.legalshield.com/about-us/executive-team/', u'https://www.rocketlawyer.com/executive-team.rl']"
the hartford,[]
fedex services,[u'http://about.van.fedex.com/newsroom/global-english/fortune-magazine-selects-fedex-exec-for-executive-dream-team/']
amgen,"[u'http://www.amgen.com/about/leadership_team.html', u'http://www.amgen.com/about/leadership_team_sean_harper.html']"
pricewaterhousecoopers,[]
citi,[u'http://www.citigroup.com/citi/about/our_leaders.html']
rr donnelley,[]
citibank,[u'http://www.citigroup.com/citi/about/our_leaders.html']
earthlink,"[u'http://www.earthlink.net/about/leaders/', u'http://www.prnewswire.com/news-releases/sk-earthlink-names-executive-team-and-announces-headquarters-54772112.html']"
teksystems,[]
aflac,[u'http://www.thestreet.com/story/11649473/1/aflac-adds-two-senior-executives-to-sales-force-leadership-team.html']
whole foods market,[]
aerotek,"[u'http://www.aerotek.com/about-aerotek/leadership.aspx', u'http://www.marketsource.com/team/']"
barclays capital,[u'http://www.barclays.com/about-barclays/leadership-team.html']
symantec,"[u'http://www.symantec.com/about/profile/management/executives/', u'http://www.symantec.com/connect/blogs/new-executive-team-members-join-symantec#!', u'http://www.crn.com/news/security/213001171/symantec-restructures-executive-team.htm']"
verizon,"[u'http://www.verizon.com/about/our-company/executive-bios/', u'http://www.verizonwireless.com/aboutus/leadership/executive.html']"
jones lang lasalle,[u'http://www.catchajob.com.au/job/jones-lang-lasalle-executive-team-assistant-full-time-in-sydney-nsw/']
hp,"[u'http://www8.hp.com/us/en/hp-information/executive-team/team.html', u'http://ssl.www8.hp.com/us/en/company-information/executive-team/ceo-index.html', u'http://www.crn.com/news/channel-programs/240160277/hps-whitman-shakes-up-executive-team-to-drive-sales-growth.htm']"
blackrock,[]
xerox,"[u'http://www.xerox.com/about-xerox/executive-leadership/corporate-officers/enus.html', u'http://www.xerox.com/about-xerox/executive-leadership/enus.html']"
u.s. bank,[u'https://www.usbank.com/commercial-business/tax-credit-financing/senior-leadership-team.html']
pwc,"[u'http://www.pwc.com/gx/en/leadership/leadership-team.jhtml', u'http://www.pwc.com/us/en/about-us/leadership/index.jhtml']"
capital one,[u'http://www.capitalone.com/about/corporate-information/leadership/']
boeing,[]
pnc,[]
state farm agent,"[u'https://www.statefarm.com/about-us/company-overview/company-profile/leadership-team', u'https://www.statefarm.com/about-us/company-overview/company-profile/leadership-team/our-board-of-directors', u'https://www.statefarm.ca/about-us/company-overview/company-profile/leadership-team']"
national oilwell varco,[]
ibm,[u'http://www.prolifics.com/company/leadership-team/executive-team']
us postal service,[]
j.p. morgan,[u'http://www.jpmorganchase.com/corporate/About-JPMC/corporate-leadership.htm']
ernst & young,[u'http://www.me-ality.com/about-us/executive-team']
state street,[]
u.s. army,[]
qualcomm,[u'http://www.androidheadlines.com/2014/08/intel-welcomes-senior-qualcomm-executive-team.html']
merck,"[u'http://www.merck.com/about/leadership/home.html', u'http://www.merck.com/about/leadership/executive-committee/home.html', u'http://www.merckgroup.com/en/company/management/executive_board/executive_board.html', u'http://www.emdgroup.com/emd/company/management/executive_board/executive_board.html']"
ey,[u'http://www.ey.com/GL/en/About-us/Our-global-approach/Our-leaders/About-EY---Global-Executive']
northwestern mutual,[u'http://www.manpower.us/en/About-Us/Leadership.htm']
cisco systems,"[u'http://www.cisco.com/web/CA/about/executive/index.html', u'http://www.cisco.com/web/IN/about/executive_profiles.html']"
kroger,[]
texas instruments,[]
wal-mart,"[u'http://corporate.walmart.com/our-story/leadership/executive-management/', u'http://wwd.com/beauty-industry-news/wal-mart-u-s-bolsters-executive-team-500573/']"
cox communications,[u'http://www.coxmediagroup.com/news/cmg-press-releases/cox-enterprises-announces-executive-leadership-tra/nXTpF/']
booz allen hamilton,[u'http://m.boozallen.com/about/leadership/executive-leadership/John-Mayer']
best buy,[u'http://consumerist.com/2010/06/02/reach-best-buy-executive-resolution-team/']
kimberly-clark,"[u'http://www.kimberly-clark.com/ourcompany/overview/leadership/sr_leadership.aspx', u'http://www.kimberly-clark.com/ourcompany/overview/leadership/sr_leadership/nloewe.aspx']"
infosys,[]
northern trust,[]
